sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,-78.74015748031496
1,0.0,0.0,0.0,0.0
2,0.0,0.0,-157.48031496062993,0.0
3,79.04773622047244,0.0,0.0,0.0
4,79.04773622047244,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,78.43257874015748,0.0,0.0
7,0.0,0.0,0.0,0.0
8,79.04773622047244,0.0,0.0,0.0
9,0.0,0.0,0.0,-78.74015748031496
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,79.04773622047244,0.0,0.0,0.0
13,0.0,-78.43257874015748,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,78.74015748031496
17,79.04773622047244,0.0,0.0,0.0
18,79.04773622047244,0.0,0.0,0.0
19,79.04773622047244,0.0,0.0,0.0
20,0.0,0.0,0.0,-78.74015748031496
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,79.04773622047244,0.0,0.0,0.0
25,948.8804133858267,0.0,0.0,0.0
26,948.8804133858267,-78.43257874015748,0.0,0.0
27,1581.5698818897638,0.0,0.0,78.74015748031496
28,1739.9729330708662,-78.43257874015748,0.0,236.83562992125985
29,1819.0206692913387,0.0,0.0,473.6712598425197
30,2688.853346456693,0.0,0.0,631.7667322834645
31,2926.3041338582675,0.0,0.0,631.7667322834645
32,3558.993602362205,-78.43257874015748,0.0,473.6712598425197
33,3954.5398622047246,0.0,0.0,157.7878937007874
34,4270.730807086614,0.0,0.0,-236.83562992125985
35,4903.420275590551,0.0,0.0,-631.7667322834645
36,5378.014271653543,0.0,0.0,-789.554625984252
37,5773.560531496063,0.0,0.0,-789.554625984252
38,6089.751476377953,0.0,0.0,-631.7667322834645
39,6406.25,0.0,0.0,-315.88336614173227
40,6564.345472440945,0.0,0.0,-157.7878937007874
41,6880.843996062992,0.0,0.0,-157.7878937007874
42,6880.843996062992,0.0,0.0,-157.7878937007874
43,6880.843996062992,0.0,0.0,-236.83562992125985
44,6959.891732283465,78.43257874015748,0.0,-236.83562992125985
45,6880.843996062992,-78.43257874015748,0.0,-236.83562992125985
46,6959.891732283465,0.0,0.0,-157.7878937007874
47,6801.796259842519,0.0,0.0,-157.7878937007874
48,6643.393208661418,78.43257874015748,0.0,-78.74015748031496
49,6327.202263779527,0.0,0.0,-78.74015748031496
