sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,316.1909448818898,0.0,0.0,78.74015748031496
1,-316.1909448818898,0.0,0.0,394.62352362204723
2,-869.8326771653543,0.0,0.0,631.7667322834645
3,-1423.474409448819,0.0,0.0,710.5068897637796
4,-1660.6176181102362,0.0,0.0,631.7667322834645
5,-2056.1638779527557,-78.43257874015748,0.0,394.62352362204723
6,-2293.6146653543306,-78.43257874015748,0.0,157.7878937007874
7,-2530.7578740157483,-78.43257874015748,0.0,78.74015748031496
8,-2847.256397637795,0.0,0.0,157.7878937007874
9,-2767.9010826771655,0.0,0.0,236.83562992125985
10,-2767.9010826771655,0.0,0.0,236.83562992125985
11,-2767.9010826771655,0.0,0.0,236.83562992125985
12,-2767.9010826771655,-78.43257874015748,0.0,236.83562992125985
13,-2767.9010826771655,0.0,0.0,157.7878937007874
14,-2451.7101377952754,-78.43257874015748,0.0,157.7878937007874
15,-2293.6146653543306,0.0,0.0,78.74015748031496
16,-1977.1161417322835,0.0,0.0,0.0
17,-1660.6176181102362,0.0,0.0,78.74015748031496
18,-1344.4266732283465,0.0,0.0,-78.74015748031496
19,-1027.9281496062993,0.0,0.0,-236.83562992125985
20,-632.6894685039371,0.0,0.0,-236.83562992125985
21,-395.2386811023622,0.0,0.0,-315.88336614173227
22,0.0,0.0,0.0,-157.7878937007874
23,474.28641732283467,0.0,0.0,-157.7878937007874
24,790.7849409448819,0.0,0.0,-157.7878937007874
25,1027.9281496062993,0.0,0.0,-78.74015748031496
26,1186.3312007874015,78.43257874015748,0.0,-157.7878937007874
27,1423.474409448819,0.0,0.0,-236.83562992125985
28,1581.5698818897638,-78.43257874015748,0.0,-236.83562992125985
29,1739.9729330708662,0.0,0.0,-315.88336614173227
30,1898.068405511811,0.0,0.0,-315.88336614173227
31,1977.1161417322835,-78.43257874015748,0.0,-315.88336614173227
32,1977.1161417322835,0.0,0.0,-315.88336614173227
33,1977.1161417322835,0.0,0.0,-236.83562992125985
34,1977.1161417322835,0.0,0.0,-236.83562992125985
35,1819.0206692913387,0.0,0.0,-157.7878937007874
36,1739.9729330708662,0.0,0.0,0.0
37,1502.5221456692914,78.43257874015748,0.0,78.74015748031496
38,1344.4266732283465,-78.43257874015748,0.0,78.74015748031496
39,1106.9758858267717,0.0,0.0,157.7878937007874
40,869.8326771653543,0.0,0.0,78.74015748031496
41,632.6894685039371,0.0,0.0,0.0
42,316.1909448818898,-78.43257874015748,0.0,0.0
43,158.0954724409449,0.0,0.0,-78.74015748031496
44,0.0,0.0,0.0,78.74015748031496
45,-237.14320866141733,78.43257874015748,0.0,157.7878937007874
46,-553.3341535433071,-78.43257874015748,0.0,236.83562992125985
47,-711.7372047244095,0.0,0.0,236.83562992125985
48,-869.8326771653543,0.0,0.0,236.83562992125985
49,-1106.9758858267717,0.0,0.0,157.7878937007874
