sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,-78.74015748031496
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,79.04773622047244,0.0,0.0,0.0
6,79.04773622047244,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,79.04773622047244,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,79.04773622047244,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,-78.43257874015748,0.0,0.0
20,0.0,0.0,0.0,0.0
21,79.04773622047244,0.0,0.0,-78.74015748031496
22,0.0,0.0,0.0,0.0
23,79.04773622047244,0.0,0.0,0.0
24,790.7849409448819,0.0,0.0,0.0
25,948.8804133858267,78.43257874015748,0.0,0.0
26,1344.4266732283465,0.0,0.0,0.0
27,1819.0206692913387,0.0,0.0,236.83562992125985
28,1660.6176181102362,0.0,0.0,473.6712598425197
29,2451.7101377952754,0.0,0.0,631.7667322834645
30,2926.3041338582675,0.0,0.0,631.7667322834645
31,3400.8981299212596,-78.43257874015748,0.0,552.7189960629921
32,3875.1845472440946,0.0,0.0,236.83562992125985
33,4191.683070866142,0.0,0.0,-157.7878937007874
34,4745.324803149606,0.0,0.0,-473.6712598425197
35,5298.966535433071,0.0,0.0,-789.554625984252
36,5694.51279527559,0.0,0.0,-789.554625984252
37,6010.703740157481,0.0,0.0,-710.5068897637796
38,6406.25,0.0,0.0,-394.62352362204723
39,6564.345472440945,0.0,0.0,-157.7878937007874
40,6880.843996062992,0.0,0.0,-157.7878937007874
41,6880.843996062992,0.0,0.0,-157.7878937007874
42,6880.843996062992,0.0,0.0,-236.83562992125985
43,6959.891732283465,0.0,0.0,-236.83562992125985
44,6959.891732283465,0.0,0.0,-236.83562992125985
45,6880.843996062992,0.0,0.0,-236.83562992125985
46,6880.843996062992,78.43257874015748,0.0,-157.7878937007874
47,6643.393208661418,0.0,0.0,-157.7878937007874
48,6485.297736220473,0.0,0.0,-78.74015748031496
49,6248.154527559055,0.0,0.0,0.0
