sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,79.04773622047244,-78.43257874015748,0.0,157.7878937007874
1,-632.6894685039371,0.0,0.0,552.7189960629921
2,-1106.9758858267717,0.0,0.0,710.5068897637796
3,-1502.5221456692914,-78.43257874015748,0.0,710.5068897637796
4,-1819.0206692913387,0.0,0.0,552.7189960629921
5,-2214.259350393701,-78.43257874015748,0.0,315.88336614173227
6,-2372.662401574803,0.0,0.0,157.7878937007874
7,-2767.9010826771655,0.0,0.0,157.7878937007874
8,-2767.9010826771655,0.0,0.0,78.74015748031496
9,-2688.853346456693,78.43257874015748,0.0,236.83562992125985
10,-2926.3041338582675,0.0,0.0,236.83562992125985
11,-2767.9010826771655,0.0,0.0,236.83562992125985
12,-2767.9010826771655,0.0,0.0,236.83562992125985
13,-2688.853346456693,-78.43257874015748,-157.48031496062993,157.7878937007874
14,-2451.7101377952754,0.0,0.0,78.74015748031496
15,-2214.259350393701,0.0,0.0,78.74015748031496
16,-1898.068405511811,0.0,0.0,0.0
17,-1502.5221456692914,0.0,0.0,0.0
18,-1186.3312007874015,0.0,0.0,-78.74015748031496
19,-869.8326771653543,0.0,0.0,-236.83562992125985
20,-553.3341535433071,0.0,0.0,-236.83562992125985
21,-237.14320866141733,78.43257874015748,0.0,-236.83562992125985
22,158.0954724409449,0.0,0.0,-236.83562992125985
23,553.3341535433071,0.0,0.0,-157.7878937007874
24,869.8326771653543,0.0,0.0,-157.7878937007874
25,1106.9758858267717,0.0,0.0,-236.83562992125985
26,1265.3789370078741,-78.43257874015748,0.0,-157.7878937007874
27,1502.5221456692914,0.0,0.0,-236.83562992125985
28,1660.6176181102362,0.0,0.0,-315.88336614173227
29,1819.0206692913387,78.43257874015748,0.0,-236.83562992125985
30,1898.068405511811,-78.43257874015748,0.0,-315.88336614173227
31,2056.1638779527557,0.0,0.0,-315.88336614173227
32,2056.1638779527557,0.0,0.0,-315.88336614173227
33,1977.1161417322835,0.0,0.0,-236.83562992125985
34,1898.068405511811,0.0,0.0,-236.83562992125985
35,1819.0206692913387,0.0,0.0,-78.74015748031496
36,1581.5698818897638,0.0,0.0,0.0
37,1423.474409448819,0.0,0.0,78.74015748031496
38,1186.3312007874015,0.0,0.0,78.74015748031496
39,1027.9281496062993,0.0,0.0,78.74015748031496
40,711.7372047244095,0.0,0.0,0.0
41,474.28641732283467,0.0,0.0,0.0
42,316.1909448818898,0.0,0.0,-78.74015748031496
43,79.04773622047244,0.0,0.0,0.0
44,-158.0954724409449,0.0,0.0,78.74015748031496
45,-395.2386811023622,0.0,0.0,157.7878937007874
46,-553.3341535433071,0.0,0.0,236.83562992125985
47,-869.8326771653543,0.0,0.0,315.88336614173227
48,-948.8804133858267,0.0,0.0,236.83562992125985
49,-1106.9758858267717,0.0,0.0,157.7878937007874
