sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,79.04773622047244,0.0,0.0,0.0
4,79.04773622047244,-78.43257874015748,0.0,0.0
5,0.0,78.43257874015748,0.0,0.0
6,0.0,0.0,0.0,0.0
7,79.04773622047244,0.0,0.0,0.0
8,0.0,0.0,-157.48031496062993,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,-78.74015748031496
14,0.0,0.0,0.0,0.0
15,0.0,-78.43257874015748,0.0,-78.74015748031496
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,79.04773622047244,-78.43257874015748,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,-78.43257874015748,0.0,0.0
23,79.04773622047244,0.0,0.0,-78.74015748031496
24,869.8326771653543,-78.43257874015748,0.0,0.0
25,1027.9281496062993,0.0,0.0,0.0
26,1581.5698818897638,0.0,0.0,78.74015748031496
27,1739.9729330708662,0.0,-157.48031496062993,236.83562992125985
28,1819.0206692913387,-78.43257874015748,0.0,552.7189960629921
29,2609.8056102362207,0.0,0.0,631.7667322834645
30,3005.3518700787404,0.0,0.0,631.7667322834645
31,3558.993602362205,78.43257874015748,0.0,394.62352362204723
32,3954.5398622047246,0.0,0.0,157.7878937007874
33,4270.730807086614,0.0,0.0,-157.7878937007874
34,4903.420275590551,0.0,0.0,-552.7189960629921
35,5457.062007874016,0.0,0.0,-710.5068897637796
36,5773.560531496063,0.0,0.0,-789.554625984252
37,6089.751476377953,0.0,0.0,-552.7189960629921
38,6406.25,0.0,0.0,-394.62352362204723
39,6564.345472440945,0.0,0.0,-157.7878937007874
40,6880.843996062992,0.0,0.0,-157.7878937007874
41,6959.891732283465,0.0,0.0,-157.7878937007874
42,6959.891732283465,0.0,0.0,-236.83562992125985
43,7038.939468503937,0.0,0.0,-236.83562992125985
44,6880.843996062992,0.0,0.0,-157.7878937007874
45,6959.891732283465,0.0,0.0,-157.7878937007874
46,6801.796259842519,0.0,0.0,-157.7878937007874
47,6643.393208661418,0.0,0.0,-78.74015748031496
48,6406.25,0.0,0.0,-78.74015748031496
49,6168.799212598426,0.0,0.0,-78.74015748031496
