sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,79.04773622047244,0.0,0.0,0.0
3,79.04773622047244,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,79.04773622047244,0.0,0.0,78.74015748031496
6,0.0,0.0,0.0,0.0
7,0.0,-78.43257874015748,0.0,0.0
8,0.0,0.0,0.0,-78.74015748031496
9,0.0,0.0,0.0,78.74015748031496
10,0.0,0.0,0.0,0.0
11,79.04773622047244,0.0,0.0,-78.74015748031496
12,0.0,-78.43257874015748,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,78.43257874015748,0.0,0.0
15,79.04773622047244,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,-79.04773622047244,0.0,0.0,-78.74015748031496
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,79.04773622047244,0.0,0.0,-78.74015748031496
24,869.8326771653543,0.0,0.0,78.74015748031496
25,1027.9281496062993,0.0,0.0,0.0
26,1581.5698818897638,0.0,0.0,0.0
27,1660.6176181102362,-78.43257874015748,0.0,236.83562992125985
28,1819.0206692913387,0.0,0.0,552.7189960629921
29,2688.853346456693,0.0,0.0,631.7667322834645
30,2926.3041338582675,0.0,0.0,631.7667322834645
31,3558.993602362205,0.0,0.0,394.62352362204723
32,3954.5398622047246,0.0,0.0,157.7878937007874
33,4270.730807086614,0.0,0.0,-236.83562992125985
34,4982.468011811024,0.0,0.0,-631.7667322834645
35,5457.062007874016,0.0,0.0,-789.554625984252
36,5773.560531496063,0.0,0.0,-789.554625984252
37,6089.751476377953,0.0,0.0,-552.7189960629921
38,6406.25,0.0,0.0,-315.88336614173227
39,6564.345472440945,0.0,0.0,-157.7878937007874
40,6880.843996062992,0.0,0.0,-157.7878937007874
41,6880.843996062992,0.0,0.0,-157.7878937007874
42,6880.843996062992,0.0,0.0,-236.83562992125985
43,7038.939468503937,0.0,0.0,-236.83562992125985
44,6880.843996062992,-78.43257874015748,0.0,-236.83562992125985
45,6959.891732283465,78.43257874015748,0.0,-157.7878937007874
46,6801.796259842519,0.0,0.0,-157.7878937007874
47,6564.345472440945,0.0,0.0,-157.7878937007874
48,6406.25,0.0,0.0,-78.74015748031496
49,6089.751476377953,0.0,0.0,-78.74015748031496
