sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,79.04773622047244,0.0,0.0,157.7878937007874
1,-553.3341535433071,-78.43257874015748,0.0,473.6712598425197
2,-1106.9758858267717,0.0,0.0,710.5068897637796
3,-1502.5221456692914,0.0,0.0,710.5068897637796
4,-1819.0206692913387,0.0,0.0,552.7189960629921
5,-2214.259350393701,0.0,0.0,315.88336614173227
6,-2372.662401574803,0.0,0.0,157.7878937007874
7,-2688.853346456693,0.0,0.0,78.74015748031496
8,-2847.256397637795,-78.43257874015748,0.0,157.7878937007874
9,-2688.853346456693,0.0,0.0,236.83562992125985
10,-2926.3041338582675,0.0,0.0,236.83562992125985
11,-2767.9010826771655,-78.43257874015748,0.0,236.83562992125985
12,-2767.9010826771655,0.0,0.0,157.7878937007874
13,-2688.853346456693,-78.43257874015748,0.0,157.7878937007874
14,-2372.662401574803,0.0,0.0,78.74015748031496
15,-2135.2116141732286,0.0,0.0,78.74015748031496
16,-1819.0206692913387,-78.43257874015748,0.0,0.0
17,-1581.5698818897638,0.0,0.0,0.0
18,-1186.3312007874015,0.0,0.0,-157.7878937007874
19,-948.8804133858267,0.0,0.0,-236.83562992125985
20,-553.3341535433071,0.0,0.0,-236.83562992125985
21,-237.14320866141733,0.0,0.0,-315.88336614173227
22,158.0954724409449,0.0,0.0,-236.83562992125985
23,553.3341535433071,-78.43257874015748,0.0,-157.7878937007874
24,869.8326771653543,0.0,0.0,-157.7878937007874
25,1106.9758858267717,0.0,0.0,-157.7878937007874
26,1265.3789370078741,0.0,0.0,-236.83562992125985
27,1423.474409448819,0.0,0.0,-236.83562992125985
28,1739.9729330708662,0.0,0.0,-236.83562992125985
29,1819.0206692913387,78.43257874015748,0.0,-315.88336614173227
30,1977.1161417322835,0.0,0.0,-236.83562992125985
31,1977.1161417322835,0.0,0.0,-315.88336614173227
32,1977.1161417322835,0.0,0.0,-236.83562992125985
33,2056.1638779527557,0.0,0.0,-236.83562992125985
34,1898.068405511811,0.0,0.0,-236.83562992125985
35,1819.0206692913387,0.0,0.0,-157.7878937007874
36,1581.5698818897638,0.0,0.0,0.0
37,1423.474409448819,0.0,0.0,78.74015748031496
38,1186.3312007874015,0.0,0.0,157.7878937007874
39,1027.9281496062993,0.0,0.0,0.0
40,711.7372047244095,0.0,0.0,78.74015748031496
41,553.3341535433071,0.0,0.0,0.0
42,316.1909448818898,-78.43257874015748,0.0,-78.74015748031496
43,79.04773622047244,0.0,0.0,0.0
44,-158.0954724409449,0.0,0.0,78.74015748031496
45,-395.2386811023622,0.0,0.0,157.7878937007874
46,-632.6894685039371,0.0,0.0,236.83562992125985
47,-790.7849409448819,-78.43257874015748,0.0,236.83562992125985
48,-1027.9281496062993,0.0,0.0,236.83562992125985
49,-1186.3312007874015,0.0,0.0,236.83562992125985
