sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,-78.74015748031496
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,-78.74015748031496
6,0.0,0.0,0.0,-78.74015748031496
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,79.04773622047244,0.0,0.0,0.0
14,79.04773622047244,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,-78.43257874015748,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,-78.74015748031496
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,79.04773622047244,0.0,0.0,-78.74015748031496
25,948.8804133858267,-78.43257874015748,0.0,0.0
26,948.8804133858267,0.0,0.0,0.0
27,1581.5698818897638,-78.43257874015748,0.0,78.74015748031496
28,1739.9729330708662,0.0,-157.48031496062993,236.83562992125985
29,1739.9729330708662,0.0,0.0,473.6712598425197
30,2688.853346456693,-78.43257874015748,0.0,631.7667322834645
31,2926.3041338582675,0.0,0.0,631.7667322834645
32,3479.9458661417325,0.0,0.0,473.6712598425197
33,3954.5398622047246,0.0,0.0,157.7878937007874
34,4270.730807086614,0.0,0.0,-236.83562992125985
35,4903.420275590551,0.0,0.0,-552.7189960629921
36,5378.014271653543,0.0,0.0,-789.554625984252
37,5773.560531496063,-78.43257874015748,0.0,-789.554625984252
38,6089.751476377953,0.0,0.0,-631.7667322834645
39,6485.297736220473,0.0,0.0,-394.62352362204723
40,6485.297736220473,78.43257874015748,0.0,-236.83562992125985
41,6880.843996062992,0.0,0.0,-157.7878937007874
42,6959.891732283465,0.0,0.0,-157.7878937007874
43,6880.843996062992,0.0,0.0,-236.83562992125985
44,7038.939468503937,0.0,0.0,-236.83562992125985
45,6880.843996062992,0.0,0.0,-236.83562992125985
46,6959.891732283465,0.0,0.0,-157.7878937007874
47,6801.796259842519,0.0,0.0,-157.7878937007874
48,6643.393208661418,0.0,0.0,-157.7878937007874
49,6406.25,0.0,0.0,-78.74015748031496
