sample,trigger_mV,x_position_mV,y_position_mV,intensity_mV
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,79.04773622047244,0.0,0.0,0.0
4,79.04773622047244,0.0,0.0,0.0
5,0.0,0.0,0.0,-78.74015748031496
6,-79.04773622047244,0.0,0.0,0.0
7,79.04773622047244,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,-78.43257874015748,0.0,0.0
10,79.04773622047244,0.0,0.0,0.0
11,0.0,78.43257874015748,0.0,0.0
12,0.0,-78.43257874015748,0.0,0.0
13,0.0,0.0,0.0,0.0
14,79.04773622047244,0.0,0.0,78.74015748031496
15,0.0,0.0,0.0,-78.74015748031496
16,0.0,0.0,0.0,0.0
17,79.04773622047244,-78.43257874015748,0.0,0.0
18,0.0,-78.43257874015748,0.0,0.0
19,0.0,0.0,0.0,0.0
20,79.04773622047244,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,78.43257874015748,0.0,0.0
23,0.0,0.0,0.0,0.0
24,790.7849409448819,-78.43257874015748,0.0,0.0
25,1027.9281496062993,0.0,0.0,0.0
26,1423.474409448819,0.0,0.0,0.0
27,1739.9729330708662,0.0,0.0,0.0
28,1660.6176181102362,0.0,0.0,0.0
29,2372.662401574803,0.0,0.0,0.0
30,2847.256397637795,0.0,0.0,78.74015748031496
31,3400.8981299212596,0.0,0.0,0.0
32,4033.587598425197,0.0,0.0,0.0
33,4428.826279527559,0.0,0.0,0.0
34,4982.468011811024,0.0,0.0,0.0
35,5536.109744094489,0.0,0.0,0.0
36,5852.608267716535,0.0,0.0,78.74015748031496
37,6089.751476377953,0.0,0.0,0.0
38,6406.25,0.0,0.0,78.74015748031496
39,6485.297736220473,0.0,0.0,0.0
40,6722.44094488189,0.0,0.0,0.0
41,6880.843996062992,0.0,0.0,0.0
42,7038.939468503937,0.0,0.0,0.0
43,7117.98720472441,0.0,0.0,0.0
44,7038.939468503937,0.0,0.0,0.0
45,6880.843996062992,0.0,0.0,0.0
46,6801.796259842519,0.0,0.0,78.74015748031496
47,6643.393208661418,0.0,0.0,0.0
48,6327.202263779527,0.0,0.0,0.0
49,6089.751476377953,0.0,0.0,0.0
